Treatment,Output,Covariate
0,7.800837494679216,19
0,-2.3436134921614107,6
0,6.725773811256815,6
0,-4.027358713654236,-3
0,-2.0773446756347287,8
1,8.367858399940438,20
1,0.8189510177169372,0
0,1.609350308097574,-4
0,-3.8538491585947448,-12
1,3.245742189076077,5
1,2.0088368443261357,11
1,2.560004598647534,9
1,2.3892317173477764,4
1,9.535858598091393,5
1,-0.254448399841108,4
0,-1.105263363477126,6
1,1.5580703739608786,0
0,-0.4741493059516304,0
0,0.10333855401860492,0
1,4.044629554755293,11
0,-3.7162938996516344,-3
0,-0.5793885073703826,0
0,-10.51322701870033,-3
1,-11.828011678579994,-4
0,0.17729930990954124,-1
0,5.45955644125426,-3
1,-7.897273075998108,-11
1,1.1683391600214468,6
0,-0.14135017272975325,0
0,0.6692718940859546,3
0,1.0884329876488494,4
0,8.884860102278019,13
1,-0.05284383416967864,9
0,6.821029343476568,1
1,-0.5583826609528328,1
0,4.116012660528076,20
0,4.772749602255994,8
1,-3.1318528948575244,6
1,6.529977452697085,8
0,-1.5382788486353935,2
1,3.892273412915119,-3
0,-9.037274084737124,-15
0,4.548805892472466,3
1,10.18462036699009,15
0,-4.163031026218821,-3
0,7.9528850347825255,10
0,-10.35598353455639,-11
1,1.2581597859840696,-5
1,-8.481349627739705,-13
1,1.8931790470255119,0
1,-0.9496130454183811,2
1,-2.4482759880889553,-5
0,-8.190726534876713,-9
1,9.228312016631275,9
1,-3.1772749584890265,-4
1,3.020649342514923,6
1,7.229374548194457,6
1,4.6305576919915845,7
1,-2.4225508594111123,2
1,7.5283739812918995,16
0,-5.54204664472941,-4
1,7.470190363092306,16
0,-1.0929493597281308,-8
1,8.757048577745778,9
1,4.067768815065737,6
0,-3.6593584493193676,-6
1,-5.045598944574015,-4
1,4.132140836334417,4
0,-3.914212169598578,0
1,2.9137865506570546,11
1,0.41290424509920776,2
0,1.6841072576309861,2
1,-4.541332992956112,-17
0,0.24649725367046504,9
1,11.85638515940214,14
0,-3.085604068542864,-4
1,4.455489290400451,7
0,1.0908444837136044,8
1,-12.112680791787154,-15
0,-2.801183665233525,-1
1,-9.687286674408629,-12
1,-0.41389307018540467,2
0,1.8734436906572935,1
0,2.1830712960049508,-5
1,4.7811358068249845,8
0,6.567080638020666,2
1,-5.732008432700361,-6
1,11.001431128293678,16
0,-5.965455879971482,-4
0,3.9456205079205104,6
1,-0.03578207292510838,3
1,-3.7234688009790453,0
1,4.332878025580026,-2
0,-0.11669493671773279,0
0,-0.7235921917022057,0
1,-0.81043047411495,-7
0,8.579974718705543,8
1,2.943214619726753,10
0,3.140375707617143,11
0,10.138337501555515,18
0,-7.951908129474262,-6
0,7.064752799578797,8
0,-0.11140448312097817,1
0,0.4967340231259325,-3
0,0.9888085045891788,6
1,4.677675940644644,5
0,9.251601398576012,18
0,0.5031325072092379,1
1,6.08360747721062,4
1,0.1321441317091836,-1
0,4.485396709495892,1
1,2.224180490940237,-1
1,-1.0579475544293668,6
1,-0.0904941346084045,3
0,9.883458989352292,13
0,-7.074266261148532,-8
0,-2.329888815327541,2
0,12.575722559222319,17
0,6.69340978568623,1
1,13.214941664155681,19
1,0.503775692255653,7
0,-3.8665819111437223,-6
1,7.058203892485624,8
0,-1.884754877192091,2
1,-8.242612965113908,-6
0,-0.2628423186908566,0
1,-1.726596135814816,6
0,-6.406949059987529,-12
0,1.6800867291701422,14
1,0.4854841844729545,1
0,3.6150962391862764,2
0,1.5741938785190324,-10
1,-3.055607151966657,-3
1,-2.3935494534150843,5
